question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,single_diff,avg_diff,selected_diff,core_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,core_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,core_gain_vs_avg,residual_gain_vs_core,final_gain_vs_avg,final_gain_vs_single,route,sequential_outcome,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_4,ANS_CO_709,18.0,10.5,10.6,10.6,10.6,10.6,-7.5,-7.4,-7.4,-7.4,-7.4,7.5,7.4,7.4,7.4,7.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,2.1441,0.0,0.0,1.0,0.183333,0.394444,0.605556,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_715,20.0,17.0,16.2,16.2,16.2,17.8,-3.0,-3.8,-3.8,-3.8,-2.2,3.0,3.8,3.8,3.8,2.2,-0.8,0.0,1.6,0.0,1.6,1.6,0.8,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.8498,0.0,0.0,0.5,0.166667,0.222222,0.777778,keep_baseline,True,1.6041,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_717,15.0,12.0,13.9,13.9,13.9,15.5,-3.0,-1.1,-1.1,-1.1,0.5,3.0,1.1,1.1,1.1,0.5,1.9,0.0,0.6,0.0,0.6,0.6,2.5,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4482,0.0,0.0,0.875,0.125,0.333333,0.666667,keep_baseline,True,1.6041,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_719,15.0,8.0,8.9,8.9,8.9,8.9,-7.0,-6.1,-6.1,-6.1,-6.1,7.0,6.1,6.1,6.1,6.1,0.9,0.0,0.0,0.0,0.0,0.0,0.9,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.7169,0.27,0.275,0.4375,0.341667,0.351389,0.648611,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_720,20.0,16.25,13.9,13.9,13.9,13.9,-3.75,-6.1,-6.1,-6.1,-6.1,3.75,6.1,6.1,6.1,6.1,-2.35,0.0,0.0,0.0,0.0,0.0,-2.35,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,2.7864,0.0,0.0,1.0,0.216667,0.405556,0.594444,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_722,16.0,12.5,10.7,10.7,10.7,10.7,-3.5,-5.3,-5.3,-5.3,-5.3,3.5,5.3,5.3,5.3,5.3,-1.8,0.0,0.0,0.0,0.0,0.0,-1.8,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,2.2485,0.0,0.0,1.0,0.25,0.416667,0.583333,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_721,15.0,11.25,12.7,12.7,12.7,14.3,-3.75,-2.3,-2.3,-2.3,-0.7,3.75,2.3,2.3,2.3,0.7,1.45,0.0,1.6,0.0,1.6,1.6,3.05,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.0475,0.27,0.25,0.625,0.333333,0.402778,0.597222,keep_baseline,True,1.6041,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_727,7.0,4.0,4.0,4.0,4.0,4.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.73,0.8,0.0,0.8,0.533333,0.466667,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_725,16.0,11.0,12.2,12.2,8.2,8.2,-5.0,-3.8,-3.8,-7.8,-7.8,5.0,3.8,3.8,7.8,7.8,1.2,0.0,-4.0,-4.0,0.0,-4.0,-2.8,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9354,0.09,0.125,0.5625,0.275,0.320833,0.679167,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_731,12.0,7.67,7.4,7.4,5.4,5.4,-4.33,-4.6,-4.6,-6.6,-6.6,4.33,4.6,4.6,6.6,6.6,-0.27,0.0,-2.0,-2.0,0.0,-2.0,-2.27,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2844,0.45,0.5,0.1675,0.5,0.389167,0.610833,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_732,12.0,13.5,13.2,13.2,13.2,13.2,1.5,1.2,1.2,1.2,1.2,1.5,1.2,1.2,1.2,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.3,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.2472,0.09,0.05,0.75,0.141667,0.313889,0.686111,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_730,8.0,8.0,8.9,8.9,11.9,11.9,0.0,0.9,0.9,3.9,3.9,0.0,0.9,0.9,3.9,3.9,-0.9,0.0,-3.0,-3.0,0.0,-3.0,-3.9,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9647,0.0,0.0,0.5625,0.125,0.229167,0.770833,accept_structured_raise,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_735,17.0,11.0,12.3,12.3,13.8,15.4,-6.0,-4.7,-4.7,-3.2,-1.6,6.0,4.7,4.7,3.2,1.6,1.3,0.0,3.1,1.5,1.6,3.1,4.4,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.2472,0.09,0.125,0.75,0.25,0.375,0.625,accept_structured_raise,True,1.6041,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_738,17.0,18.0,18.0,18.0,15.5,15.5,1.0,1.0,1.0,-1.5,-1.5,1.0,1.0,1.0,1.5,1.5,0.0,0.0,-0.5,-0.5,0.0,-0.5,-0.5,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.05,0.016667,0.983333,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_737,16.0,14.0,11.8,11.8,11.8,11.8,-2.0,-4.2,-4.2,-4.2,-4.2,2.0,4.2,4.2,4.2,4.2,-2.2,0.0,0.0,0.0,0.0,0.0,-2.2,NEG,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.5456,0.18,0.25,0.875,0.375,0.5,0.5,,False,0.0,not_run_for_neg_route,
CO_4,ANS_CO_740,3.0,2.0,2.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-3.0,-3.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.64,0.7,0.0,0.7,0.466667,0.533333,accept_structured_lower,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_741,15.0,15.0,16.0,16.0,16.0,17.6,0.0,1.0,1.0,1.0,2.6,0.0,1.0,1.0,1.0,2.6,-1.0,0.0,-1.6,0.0,-1.6,-1.6,-2.6,BND,defer_human,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4142,0.09,0.1,0.75,0.2,0.35,0.65,keep_baseline,True,1.6041,validation_route_score_band_correction,route:BND
CO_4,ANS_CO_743,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.91,0.9,0.0,0.9,0.6,0.4,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_742,8.0,5.5,5.2,5.2,5.7,5.7,-2.5,-2.8,-2.8,-2.3,-2.3,2.5,2.8,2.8,2.3,2.3,-0.3,0.0,0.5,0.5,0.0,0.5,0.2,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.55,0.6,0.125,0.6,0.441667,0.558333,accept_structured_raise,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_748,14.0,9.5,9.1,9.1,9.1,9.1,-4.5,-4.9,-4.9,-4.9,-4.9,4.5,4.9,4.9,4.9,4.9,-0.4,0.0,0.0,0.0,0.0,0.0,-0.4,BND,defer_human,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.1607,0.09,0.1,0.6875,0.158333,0.315278,0.684722,keep_baseline,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_747,8.0,6.0,6.7,6.7,8.7,8.7,-2.0,-1.3,-1.3,0.7,0.7,2.0,1.3,1.3,0.7,0.7,0.7,0.0,0.6,0.6,0.0,0.6,1.3,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9428,0.18,0.225,0.5,0.333333,0.352778,0.647222,accept_structured_raise,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
CO_4,ANS_CO_751,6.0,7.0,7.5,7.5,8.0,8.0,1.0,1.5,1.5,2.0,2.0,1.0,1.5,1.5,2.0,2.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5,-1.0,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4082,0.45,0.45,0.25,0.516667,0.405556,0.594444,accept_structured_raise,False,1.6041,raise_blocked_by_core_overcredit_evidence,route:BND
