question_id,student_id,diagnostic_group,baseline_error_direction,teacher_score,baseline_score,trial_score,max_score,safety_tolerance,baseline_abs_error,trial_abs_error,trial_route,trial_membership,U_E,U_S,U_R,U_R_consensus,U_R_evidence,U_R_undercredit,result_correctness_signal,result_strong_signal,method_evidence_signal,lenient_undercredit_signal,stable_undercredit_review,result_anchored_undercredit_review,unsupported_match_points_ratio,effective_unsupported_match_points_ratio,unsupported_high_score_risk,bare_answer_risk,core_support_signal,core_contradiction_ratio,evidence_supported_answer,boundary_action,boundary_gate_reason,sequential_outcome,requires_human_review
CO_11,ANS_CO_1221,bnd_auto_resolved,undercredit,9.0,4.8,4.8,15.0,1.5,4.2,4.2,BND,0.389968,0.366667,1.0,0.511111,0.511111,0.0,0.0,0.6364,0.1818,0.625,0.248,True,False,0.0,0.0,0.0,0.2386,0.3158,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_8,ANS_CO_847,bnd_auto_resolved,undercredit,8.0,3.8,5.05,10.0,1.0,4.2,2.95,BND,0.40237,0.0,1.0,0.5,0.166667,0.5,0.0,0.5,0.5,0.75,0.1892,True,True,0.25,0.25,0.095,0.125,0.5,0.5,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CPL_4,ANS_CPL_186,bnd_auto_resolved,undercredit,5.0,0.8,0.8,10.0,1.0,4.2,4.2,BND,0.420805,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_11,ANS_CO_1239,bnd_auto_resolved,undercredit,14.0,10.0,10.0,15.0,1.5,4.0,4.0,BND,0.405697,0.266667,1.0,0.338889,0.338889,0.1579,0.0,0.8182,0.8182,0.7083,0.125,False,False,0.1,0.1,0.0667,0.2386,0.6316,0.1579,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_12,ANS_CO_1435,bnd_auto_resolved,overcredit,19.0,23.0,23.0,25.0,2.5,4.0,4.0,BND,0.462703,0.0,0.8,0.226667,0.226667,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_9,ANS_ISC_322,bnd_auto_resolved,overcredit,2.0,5.8,5.8,10.0,1.0,3.8,3.8,BND,0.439464,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3176,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_6,ANS_CO_427,bnd_auto_resolved,undercredit,6.0,2.5,2.5,20.0,2.0,3.5,3.5,BND,0.494072,0.15,0.625,0.216667,0.216667,0.0,0.0,0.5714,0.0,0.5,0.2053,True,False,0.0,0.0,0.0,0.2857,0.2857,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_5,ANS_CO_359,bnd_auto_resolved,overcredit,10.0,13.3,15.0,15.0,1.5,3.3,5.0,BND,0.366362,0.0,1.0,1.0,0.111111,1.0,0.0,1.0,1.0,1.0,0.0,False,False,0.3333,0.3333,0.2956,0.0,1.0,1.0,True,accept_structured_raise,validated_item_evidence,auto_adjusted,False
ML_1,ANS_ML_39,bnd_auto_resolved,undercredit,4.0,0.7,0.7,4.0,0.5,3.3,3.3,BND,0.414633,0.0,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_12,ANS_CO_1366,bnd_auto_resolved,undercredit,17.0,14.0,19.0,25.0,2.5,3.0,2.0,BND,0.414382,0.1,1.0,0.293333,0.293333,0.0,0.0,1.0,0.25,1.0,0.3412,True,False,0.0,0.0,0.0,0.0,0.625,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_12,ANS_CO_1441,bnd_auto_resolved,overcredit,17.0,19.8,19.8,25.0,2.5,2.8,2.8,BND,0.446549,0.0,0.88,0.226667,0.226667,0.0,0.0,1.0,0.75,1.0,0.0682,False,False,0.0,0.0,0.0,0.0,0.875,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_4,ANS_CO_723,bnd_auto_resolved,undercredit,20.0,17.2,17.2,20.0,2.0,2.8,2.8,BND,0.506641,0.0,0.625,0.116667,0.116667,0.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.0,0.086,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_8,ANS_CO_890,bnd_auto_resolved,undercredit,7.0,4.2,4.2,10.0,1.0,2.8,2.8,BND,0.406955,0.0,1.0,0.4375,0.4375,0.0,0.0,0.0,0.0,0.5,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_5,ANS_ISC_54,bnd_auto_resolved,undercredit,6.0,3.2,3.95,6.0,0.6,2.8,2.05,BND,0.394451,0.25,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0931,True,True,0.0,0.0,0.0,0.25,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_12,ANS_CO_1380,bnd_auto_resolved,undercredit,13.0,10.3,11.8,25.0,2.5,2.7,1.2,BND,0.431479,0.0,1.0,0.106667,0.106667,0.0,0.0,1.0,0.0,1.0,0.5153,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CPL_4,ANS_CPL_185,bnd_auto_resolved,undercredit,9.0,6.3,6.3,10.0,1.0,2.7,2.7,BND,0.420805,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
DM_2,ANS_DM_169,bnd_auto_resolved,overcredit,7.0,9.7,9.7,10.0,1.0,2.7,2.7,BND,0.530786,0.0,0.5,0.133333,0.133333,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ML_4,ANS_ML_224,bnd_auto_resolved,undercredit,6.0,3.3,4.5,6.0,0.6,2.7,1.5,BND,0.473128,0.0,0.833333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3529,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_3,ANS_CO_208,bnd_auto_resolved,undercredit,8.0,5.5,7.0,10.0,1.0,2.5,1.0,BND,0.439464,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3529,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_11,ANS_CO_1202,bnd_auto_resolved,undercredit,7.0,4.7,4.7,15.0,1.5,2.3,2.3,BND,0.39126,0.3,1.0,0.522222,0.522222,0.0,0.0,0.0,0.0,0.2083,0.0,False,False,0.0,0.0,0.0,0.0,0.2632,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ML_1,ANS_ML_48,bnd_auto_resolved,undercredit,4.0,1.7,1.7,4.0,0.5,2.3,2.3,BND,0.439464,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_8,ANS_CO_904,bnd_auto_resolved,undercredit,3.0,0.8,0.8,10.0,1.0,2.2,2.2,BND,0.481894,0.25,0.625,0.333333,0.333333,0.0,0.0,0.0,0.0,0.25,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CPL_7,ANS_CPL_374,bnd_auto_resolved,undercredit,10.0,8.0,10.5,15.0,1.5,2.0,0.5,BND,0.431147,0.0,1.0,0.111111,0.111111,0.0,0.0,1.0,0.0,1.0,0.3725,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CPL_8,ANS_CPL_451,bnd_auto_resolved,overcredit,4.0,6.0,6.0,10.0,1.0,2.0,2.0,BND,0.424521,0.0,1.0,0.2,0.133333,0.2,0.0,0.0,0.0,0.7,0.0,False,False,0.2,0.2,0.12,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_3,ANS_ISC_572,bnd_auto_resolved,undercredit,5.0,3.1,3.1,5.0,0.5,1.9,1.9,BND,0.530027,0.333333,0.333333,0.444444,0.444444,0.0,0.0,0.6667,0.3333,0.6667,0.1203,False,False,0.0,0.0,0.0,0.2222,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_3,ANS_ISC_595,bnd_auto_resolved,undercredit,4.0,2.1,2.1,5.0,0.5,1.9,1.9,BND,0.387799,0.333333,1.0,0.555556,0.555556,0.0,0.0,0.3333,0.3333,0.3333,0.0497,False,False,0.0,0.0,0.0,0.2222,0.3333,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ML_1,ANS_ML_05,bnd_auto_resolved,undercredit,4.0,2.1,2.9,4.0,0.5,1.9,1.1,BND,0.439464,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3824,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_12,ANS_CO_1365,bnd_auto_resolved,safe,16.0,14.2,15.2,25.0,2.5,1.8,0.8,BND,0.503759,0.08,0.6,0.186667,0.186667,0.0,0.0,0.75,0.5,0.8,0.1879,True,True,0.0,0.0,0.0,0.15,0.625,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_3,ANS_CO_179,bnd_auto_resolved,undercredit,6.0,4.2,6.2,10.0,1.0,1.8,0.2,BND,0.490072,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5059,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CPL_8,ANS_CPL_426,bnd_auto_resolved,overcredit,4.0,5.8,7.3,10.0,1.0,1.8,3.3,BND,0.429488,0.0,1.0,0.133333,0.133333,0.0,0.0,0.0,0.0,0.8,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_3,ANS_CO_250,bnd_auto_resolved,undercredit,9.0,7.3,7.3,10.0,1.0,1.7,1.7,BND,0.477398,0.0,0.75,0.166667,0.166667,0.0,0.0,1.0,0.5,1.0,0.1412,False,False,0.0,0.0,0.0,0.0,0.75,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_4,ANS_CO_760,bnd_auto_resolved,safe,20.0,18.3,18.3,20.0,2.0,1.7,1.7,BND,0.525727,0.0,0.5,0.2,0.2,0.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_7,ANS_CO_458,bnd_auto_resolved,undercredit,4.0,2.3,2.3,10.0,1.0,1.7,1.7,BND,0.414633,0.0,1.0,0.333333,0.333333,0.0,0.0,1.0,0.0,1.0,0.7294,True,False,0.0,0.0,0.0,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
POC_3,ANS_POC_290,bnd_auto_resolved,undercredit,5.0,3.3,4.3,5.0,0.5,1.7,0.7,BND,0.429488,0.0,1.0,0.133333,0.133333,0.0,0.0,1.0,0.6,1.0,0.2235,False,False,0.0,0.0,0.0,0.0,0.8,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
ISC_3,ANS_ISC_614,bnd_auto_resolved,undercredit,5.0,3.4,3.4,5.0,0.5,1.6,1.6,BND,0.414633,0.0,1.0,0.333333,0.333333,0.0,0.0,1.0,0.3333,1.0,0.2,False,False,0.0,0.0,0.0,0.0,0.6667,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CPL_8,ANS_CPL_434,bnd_auto_resolved,undercredit,10.0,8.5,8.5,10.0,1.0,1.5,1.5,BND,0.485,0.0,0.75,0.066667,0.066667,0.0,0.0,0.0,0.0,0.9,0.0,False,False,0.0,0.0,0.085,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
POC_5,ANS_POC_156,bnd_auto_resolved,undercredit,5.0,3.5,3.75,5.0,0.5,1.5,1.25,BND,0.412171,0.0,1.0,0.366667,0.366667,0.0,0.0,1.0,0.4,1.0,0.1765,False,False,0.0,0.0,0.0,0.0,0.7,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_8,ANS_CO_873,bnd_auto_resolved,undercredit,3.0,1.7,2.95,10.0,1.0,1.3,0.05,BND,0.388406,0.25,1.0,0.583333,0.583333,0.0,0.0,0.0,0.0,0.25,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
ISC_3,ANS_ISC_568,bnd_auto_resolved,undercredit,5.0,3.7,3.7,5.0,0.5,1.3,1.3,BND,0.422868,0.0,1.0,0.222222,0.222222,0.0,0.0,1.0,0.3333,1.0,0.1294,False,False,0.0,0.0,0.0,0.0,0.6667,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ML_4,ANS_ML_207,bnd_auto_resolved,undercredit,6.0,4.7,5.2,6.0,0.6,1.3,0.8,BND,0.414633,0.0,1.0,0.333333,0.333333,0.0,0.0,1.0,0.0,1.0,0.0784,False,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
ISC_9,ANS_ISC_363,bnd_auto_resolved,overcredit,3.0,4.2,4.2,10.0,1.0,1.2,1.2,BND,0.439464,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.1043,True,False,0.0,0.0,0.0,0.25,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_8,ANS_CO_902,bnd_auto_resolved,undercredit,4.0,2.9,2.9,10.0,1.0,1.1,1.1,BND,0.502835,0.0,0.625,0.166667,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_3,ANS_ISC_599,bnd_auto_resolved,undercredit,4.0,2.9,3.4,5.0,0.5,1.1,0.6,BND,0.456296,0.0,0.833333,0.222222,0.222222,0.0,0.0,0.6667,0.3333,0.6667,0.1247,True,False,0.0,0.0,0.0,0.2222,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_11,ANS_CO_1312,bnd_auto_resolved,safe,15.0,14.0,14.0,15.0,1.5,1.0,1.0,BND,0.530022,0.1,0.5,0.1,0.1,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_4,ANS_CO_718,bnd_auto_resolved,safe,17.0,18.0,18.0,20.0,2.0,1.0,1.0,BND,0.525727,0.0,0.5,0.2,0.2,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.09,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
DM_3,ANS_DM_240,bnd_auto_resolved,safe,4.0,5.0,5.0,10.0,1.0,1.0,1.0,BND,0.41796,0.05,1.0,0.266667,0.266667,0.0,0.0,0.0,0.0,0.5,0.0,False,False,0.0,0.0,0.0,0.0,0.75,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
POC_5,ANS_POC_133,bnd_auto_resolved,undercredit,5.0,4.1,4.1,5.0,0.5,0.9,0.9,BND,0.485,0.0,0.75,0.066667,0.066667,0.0,0.0,1.0,0.4,1.0,0.0353,False,False,0.0,0.0,0.0,0.0,0.7,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CPL_8,ANS_CPL_424,bnd_auto_resolved,safe,6.0,6.8,6.8,10.0,1.0,0.8,0.8,BND,0.471571,0.1,0.75,0.2,0.166667,0.2,0.0,0.0,0.0,0.8,0.0,False,False,0.2,0.2,0.136,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_2,ANS_CO_622,bnd_auto_resolved,safe,18.0,17.3,17.3,20.0,2.0,0.7,0.7,BND,0.429488,0.0,1.0,0.133333,0.133333,0.0,0.0,1.0,0.6,1.0,0.0,False,False,0.0,0.0,0.0,0.0,0.8,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_7,ANS_CO_464,bnd_auto_resolved,safe,10.0,9.3,9.3,10.0,1.0,0.7,0.7,BND,0.515594,0.0,0.5,0.333333,0.333333,0.0,0.0,1.0,0.5,1.0,0.0,False,False,0.0,0.0,0.0,0.0,0.75,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_7,ANS_CO_475,bnd_auto_resolved,safe,6.0,6.7,8.7,10.0,1.0,0.7,2.7,BND,0.439464,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2118,False,False,0.0,0.0,0.0,0.0,0.5,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
DM_1,ANS_DM_22,bnd_auto_resolved,safe,5.0,4.3,4.3,8.0,0.8,0.7,0.7,BND,0.393536,0.375,1.0,0.458333,0.458333,0.0,0.0,0.625,0.625,0.625,0.1248,True,False,0.0,0.0,0.0,0.2344,0.625,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
DM_2,ANS_DM_180,bnd_auto_resolved,safe,10.0,9.3,9.3,10.0,1.0,0.7,0.7,BND,0.422043,0.0,1.0,0.233333,0.233333,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_2,ANS_ISC_483,bnd_auto_resolved,overcredit,4.0,4.7,4.7,5.0,0.5,0.7,0.7,BND,0.515594,0.0,0.5,0.333333,0.333333,0.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
POC_5,ANS_POC_144,bnd_auto_resolved,undercredit,5.0,4.3,4.3,5.0,0.5,0.7,0.7,BND,0.525727,0.0,0.5,0.2,0.2,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
DM_3,ANS_DM_262,bnd_auto_resolved,safe,0.0,0.5,0.5,10.0,1.0,0.5,0.5,BND,0.465634,0.05,0.75,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_2,ANS_ISC_532,bnd_auto_resolved,safe,4.0,3.5,3.5,5.0,0.5,0.5,0.5,BND,0.439464,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1765,False,False,0.0,0.0,0.0,0.0,0.5,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
POC_3,ANS_POC_266,bnd_auto_resolved,safe,1.0,1.5,1.5,5.0,0.5,0.5,0.5,BND,0.429488,0.0,1.0,0.133333,0.133333,0.0,0.0,0.4,0.0,0.4,0.0818,True,False,0.0,0.0,0.0,0.24,0.2,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_8,ANS_CO_778,bnd_auto_resolved,safe,10.0,9.6,9.6,10.0,1.0,0.4,0.4,BND,0.509178,0.0,0.625,0.083333,0.083333,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_13,ANS_CO_1521,bnd_auto_resolved,safe,15.0,14.7,15.7,20.0,2.0,0.3,0.7,BND,0.505372,0.0,0.625,0.133333,0.133333,0.0,0.0,1.0,0.5333,1.0,0.1353,False,False,0.0,0.0,0.0,0.0,0.7667,0.0,False,accept_structured_raise,validated_item_evidence,auto_adjusted,False
CO_13,ANS_CO_1563,bnd_auto_resolved,safe,18.0,18.3,18.3,20.0,2.0,0.3,0.3,BND,0.464753,0.0,0.75,0.333333,0.333333,0.0,0.0,1.0,0.5333,1.0,0.0,False,False,0.0,0.0,0.0,0.0,0.7667,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_2,ANS_CO_556,bnd_auto_resolved,safe,19.0,18.7,18.7,20.0,2.0,0.3,0.3,BND,0.429488,0.0,1.0,0.133333,0.133333,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CO_2,ANS_CO_577,bnd_auto_resolved,safe,15.0,15.3,15.3,20.0,2.0,0.3,0.3,BND,0.513679,0.25,0.5,0.25,0.25,0.0,0.0,1.0,0.6,1.0,0.1,False,False,0.0,0.0,0.0,0.0,0.8,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
CPL_6,ANS_CPL_323,bnd_auto_resolved,safe,2.0,2.3,2.3,10.0,1.0,0.3,0.3,BND,0.530786,0.0,0.5,0.133333,0.133333,0.0,0.0,0.0,0.0,0.2,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
DM_1,ANS_DM_34,bnd_auto_resolved,safe,5.0,5.3,5.3,8.0,0.8,0.3,0.3,BND,0.481415,0.3125,0.625,0.3125,0.3125,0.0,0.0,0.625,0.625,0.625,0.0749,False,False,0.0,0.0,0.0,0.2344,0.625,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
DM_3,ANS_DM_243,bnd_auto_resolved,safe,10.0,9.7,9.7,10.0,1.0,0.3,0.3,BND,0.518129,0.0,0.5,0.3,0.3,0.0,0.0,1.0,1.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,True,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_9,ANS_ISC_337,bnd_auto_resolved,safe,10.0,9.7,9.7,10.0,1.0,0.3,0.3,BND,0.515594,0.0,0.5,0.333333,0.333333,0.0,0.0,1.0,0.5,1.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
ISC_9,ANS_ISC_367,bnd_auto_resolved,safe,2.0,1.7,1.7,10.0,1.0,0.3,0.3,BND,0.427002,0.0,1.0,0.166667,0.166667,0.0,0.0,0.5,0.0,0.5,0.165,True,False,0.0,0.0,0.0,0.25,0.0,0.0,False,keep_baseline,structured_evidence_supports_no_material_change,auto_kept_after_review,False
