question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_1,ANS_CO_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_100,2.0,2.0,1.8,1.8,1.8,0.0,-0.2,-0.2,-0.2,0.0,0.2,0.2,0.2,-0.2,0.0,0.0,0.0,-0.2,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2828,0.33,0.3,0.6,0.3,0.4,0.6,reject_raise,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_102,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_103,5.0,3.5,4.0,4.0,4.6,-1.5,-1.0,-1.0,-0.4,1.5,1.0,1.0,0.4,0.5,0.0,0.6,0.6,1.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.7071,0.0,0.0,1.0,0.0,0.333333,0.666667,reject_raise,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,1.0,1.0,0.0,1.0,0.666667,0.333333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_110,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_111,5.0,3.5,4.0,4.0,4.6,-1.5,-1.0,-1.0,-0.4,1.5,1.0,1.0,0.4,0.5,0.0,0.6,0.6,1.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.7071,0.0,0.0,1.0,0.0,0.333333,0.666667,reject_raise,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_113,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_115,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_116,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_117,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_12,2.0,3.05,3.0,3.05,4.35,1.05,1.0,1.05,2.35,1.05,1.0,1.05,2.35,0.05,-0.05,-1.3,-1.35,-1.3,BND,False,False,False,calculation_derivation,True,True,upper_consensus_undercredit,guarded_max_of_three,0.0,0.0,0.0,0.0,0.0,0.0,1.0,auto_small_raise,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_118,2.0,3.5,3.3,3.3,1.8,1.5,1.3,1.3,-0.2,1.5,1.3,1.3,0.2,0.2,0.0,1.1,1.1,1.3,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2828,0.33,0.3,0.6,0.3,0.4,0.6,auto_small_lower,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_121,1.0,2.0,1.8,1.8,1.8,1.0,0.8,0.8,0.8,1.0,0.8,0.8,0.8,0.2,0.0,0.0,0.0,0.2,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2828,0.33,0.3,0.6,0.3,0.4,0.6,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.6,0.0,0.6,0.4,0.6,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_124,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_123,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_126,5.0,4.55,4.5,4.5,5.0,-0.45,-0.5,-0.5,0.0,0.45,0.5,0.5,0.0,-0.05,0.0,0.5,0.5,0.45,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0236,0.0,0.0,0.05,0.0,0.016667,0.983333,,True,0.5,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_127,2.0,2.0,2.2,2.2,2.2,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,-0.2,0.0,0.0,0.0,-0.2,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2357,0.33,0.3,0.5,0.3,0.366667,0.633333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_125,2.0,2.0,1.8,1.8,1.8,0.0,-0.2,-0.2,-0.2,0.0,0.2,0.2,0.2,-0.2,0.0,0.0,0.0,-0.2,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2828,0.33,0.3,0.6,0.3,0.4,0.6,reject_raise,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_129,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_130,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_131,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_133,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_135,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_137,5.0,5.0,4.6,4.6,5.0,0.0,-0.4,-0.4,0.0,0.0,0.4,0.4,0.0,-0.4,0.0,0.4,0.4,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.495,0.0,0.0,1.0,0.0,0.333333,0.666667,reject_raise,True,0.4,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_16,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_15,5.0,3.5,3.8,3.95,4.55,-1.5,-1.2,-1.05,-0.45,1.5,1.2,1.05,0.45,0.3,0.15,0.6,0.75,1.05,BND,False,False,False,calculation_derivation,True,True,upper_consensus_strict,guarded_max_of_three,0.2121,0.0,0.0,0.45,0.0,0.15,0.85,keep_minor_change,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_17,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_18,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_19,5.0,1.05,1.1,1.1,1.1,-3.95,-3.9,-3.9,-3.9,3.95,3.9,3.9,3.9,0.05,0.0,0.0,0.0,0.05,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_21,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_20,5.0,3.5,4.0,4.0,4.6,-1.5,-1.0,-1.0,-0.4,1.5,1.0,1.0,0.4,0.5,0.0,0.6,0.6,1.1,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.7071,0.0,0.0,1.0,0.0,0.333333,0.666667,reject_raise,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_24,2.0,3.5,3.5,3.5,4.1,1.5,1.5,1.5,2.1,1.5,1.5,1.5,2.1,0.0,0.0,-0.6,-0.6,-0.6,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_22,5.0,3.5,3.5,3.5,4.1,-1.5,-1.5,-1.5,-0.9,1.5,1.5,1.5,0.9,0.0,0.0,0.6,0.6,0.6,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_25,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_26,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route:CO_1|BND
CO_1,ANS_CO_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_28,5.0,2.45,2.8,2.8,4.1,-2.55,-2.2,-2.2,-0.9,2.55,2.2,2.2,0.9,0.35,0.0,1.3,1.3,1.65,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.495,0.0,0.0,1.0,0.0,0.333333,0.666667,small_raise,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_30,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_29,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEG,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,not_run_for_neg_route,
CO_1,ANS_CO_31,5.0,5.0,4.5,4.5,5.0,0.0,-0.5,-0.5,0.0,0.0,0.5,0.5,0.0,-0.5,0.0,0.5,0.5,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.7071,0.0,0.0,1.0,0.0,0.333333,0.666667,keep_minor_change,True,0.5,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,1.0,1.0,0.0,1.0,0.666667,0.333333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_33,5.0,3.6,2.9,2.9,4.2,-1.4,-2.1,-2.1,-0.8,1.4,2.1,2.1,0.8,-0.7,0.0,1.3,1.3,0.6,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.6236,0.0,0.0,1.0,0.0,0.333333,0.666667,medium_raise,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
CO_1,ANS_CO_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_38,5.0,4.55,4.5,4.5,5.0,-0.45,-0.5,-0.5,0.0,0.45,0.5,0.5,0.0,-0.05,0.0,0.5,0.5,0.45,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,True,0.5,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_36,5.0,1.5,1.5,1.5,1.5,-3.5,-3.5,-3.5,-3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_39,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_41,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_40,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_42,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change,False,0.6,raise_blocked_by_core_overcredit_evidence,question_route_band:CO_1|BND|low
CO_1,ANS_CO_43,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_45,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_50,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,validation_route_score_band_correction,question:CO_1
CO_1,ANS_CO_51,2.0,3.5,3.5,3.5,4.1,1.5,1.5,1.5,2.1,1.5,1.5,1.5,2.1,0.0,0.0,-0.6,-0.6,-0.6,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change,True,0.6,validation_route_score_band_correction,question_route:CO_1|BND
